Country;area;GMO;None_GMO;lat;long;Area;GM;None_GM
Canada;9119700;8700000;419700;59,95716468;-112,3856257;91,197;87;4,197
China;7614543;0;76145430;36,4203449;103,6295573;761,4543;0;761,4543
India;5762000;0;57620000;23,31625994;78,59891928;576,2;0;576,2
France;1550720;0;15507200;46,87244853;2,441405453;155,072;0;155,072
Germany;1325700;0;13257000;51,29646377;10,36228733;132,57;0;132,57
Australia;2357000;499000;23071000;-23,74736597;133,8264468;235,7;4,99;230,71
Poland;826946;0;8269460;52,59509389;18,97692271;82,6946;0;82,6946
United Kingdom;579000;0;5790000;54,11556889;-1,961630225;57,9;0;57,9
United States;876000;876000;0;41,0153035;-103,8765611;8,76;8,76;0
Czech Republic;392991;0;3929910;49,79630555;15,07786362;39,2991;0;39,2991
Romania;455048;0;4550480;45,98106557;24,94138857;45,5048;0;45,5048
Ukraine;449930;0;4499300;49,16201896;31,61326115;44,993;0;44,993
Russia;911849;0;9118490;64,70468139;93,36015316;91,1849;0;91,1849
Hungary;222085;0;2220850;47,16168501;19,08573535;22,2085;0;22,2085
Chile;48166;3351;44815;-35,675147;-71,542969;0,48166;0,03351;0,44815
