Country;area;GMO;None_GMO;lat;long;Area;GM;None_GM
Canada;9119700;8700000;419700;59,95716468;-112,3856257;912;870;42
China;7614543;0;76145430;36,4203449;103,6295573;761,5;0;761
India;5762000;0;57620000;23,31625994;78,59891928;576,2;0;576
Australia;2357000;499000;23071000;-23,74736597;133,8264468;235,7;49,9;186
France;1550720;0;15507200;46,87244853;2,441405453;155,1;0;155
Germany;1325700;0;13257000;51,29646377;10,36228733;132,6;0;133
Russia;911849;0;9118490;64,70468139;93,36015316;91,2;0;91
United States;876000;876000;0;41,0153035;-103,8765611;87,6;87,6;0
Poland;826946;0;8269460;52,59509389;18,97692271;82,7;0;83
United Kingdom;579000;0;5790000;54,11556889;-1,961630225;57,9;0;58
Romania;455048;0;4550480;45,98106557;24,94138857;45,5;0;46
Ukraine;449930;0;4499300;49,16201896;31,61326115;45;0;45
Czech Republic;392991;0;3929910;49,79630555;15,07786362;39,3;0;39
Hungary;222085;0;2220850;47,16168501;19,08573535;22,2;0;22
Chile;48166;3351;44815;-35,675147;-71,542969;4,8;0,3351;4
