Country;production;lat;long;coloration;Production
Canada;18648800;59,95716468;-112,3856257;yellow;186,488
China;13484700;36,4203449;103,6295573;yellow;134,847
India;9255660;23,31625994;78,59891928;yellow;92,5566
France;3523300;46,87244853;2,441405453;yellow;35,233
Ukraine;3280320;49,16201896;31,61326115;yellow;32,8032
Germany;2830200;51,29646377;10,36228733;yellow;28,302
Australia;2365839;-23,74736597;133,8264468;yellow;23,65839
Poland;2268850;52,59509389;18,97692271;yellow;22,6885
Russia;2060320;64,70468139;93,36015316;yellow;20,6032
United Kingdom;1752000;54,11556889;-1,961630225;yellow;17,52
United States;1553310;41,0153035;-103,8765611;yellow;15,5331
Czech Republic;1156970;49,79630555;15,07786362;yellow;11,5697
Hungary;912120;47,16168501;19,08573535;yellow;9,1212
Romania;798220;45,98106557;24,94138857;yellow;7,9822
Chile;185318;-35,675147;-71,542969;yellow;1,85318
